"Gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","regulation"
"F2RL2",1.10159209696838,-1.93771850932174,0.699180341420293,-2.77141446137561,0.0055813334530593,0.0130395312765577,"Yes","Downregulated"
"UBLCP1",380.853285671062,1.21624157183282,0.181566673052239,6.69859479929391,2.1043319280254e-11,3.01219613365078e-10,"Yes","Upregulated"
"BMT2",2.22833549037778,-2.77456644989455,1.01602044621112,-2.73081753447117,0.00631774393049989,0.0145441886678322,"Yes","Downregulated"
"PTTG1",131.788328396275,1.18281526032429,0.222649312847445,5.31245861573681,1.08155993638635e-07,7.40166188535556e-07,"Yes","Upregulated"
"MICALL2",2366.26767310713,1.13768629659308,0.140188421708719,8.11540841052438,4.84153749652239e-16,1.56514482077843e-14,"Yes","Upregulated"
"INTS1",1174.95779339547,1.0937709054897,0.11266471714196,9.70819377384605,2.78223569065903e-22,2.70306036648336e-20,"Yes","Upregulated"
"SLC4A2",2795.97435592861,1.27715467650849,0.123600362303315,10.3329363499304,5.00059297732615e-25,8.45702136396872e-23,"Yes","Upregulated"
"ALDH1A1",31.5739406352028,-1.16386847377153,0.250287298185351,-4.65012999944417,3.31725866251081e-06,1.6366755664711e-05,"Yes","Downregulated"
"C9orf64",60.218258843948,1.11310030258798,0.176118767971153,6.32016857380182,2.61278124101369e-10,3.03577922182665e-09,"Yes","Upregulated"
"VEGFD",26.2346964612519,1.27732431801028,0.536654176960886,2.38016281778308,0.0173049900326736,0.0354677331662872,"Yes","Upregulated"
"NOL6",619.883261160936,1.05158352526986,0.108465764531121,9.69507318567923,3.16410753878185e-22,3.04170653662371e-20,"Yes","Upregulated"
"SLC18A2",53.1631548175924,-1.47813000183498,0.236102334487409,-6.26054801636789,3.83626925664581e-10,4.32260690762713e-09,"Yes","Downregulated"
"PDZD8",51.2464673670172,-1.33384381031568,0.370720572912308,-3.59797623271152,0.000320702916840203,0.00100854662122698,"Yes","Downregulated"
"JCAD",385.332890304313,1.2197214213111,0.206544780139123,5.90536067040539,3.51876067695942e-09,3.26742062860517e-08,"Yes","Upregulated"
"RAPSN",21.8354098224622,1.46164452613186,0.298399450894903,4.89828155430035,9.66784383200131e-07,5.3918524455421e-06,"Yes","Upregulated"
"RAB8B",47.6723385097317,-1.00506765412149,0.215606620256263,-4.66158067376084,3.13790021054925e-06,1.55659281221298e-05,"Yes","Downregulated"
"TRMT61A",79.9334904597521,3.22191848115562,0.391389002679215,8.23201075937314,1.84096714401738e-16,6.36842137982527e-15,"Yes","Upregulated"
"CCT2",892.404534153963,1.02235195454511,0.137887435262632,7.41439531889072,1.221809695934e-13,2.62545342308642e-12,"Yes","Upregulated"
"CLMP",49.3948478815806,-1.70850215970768,0.312571700022432,-5.46595280246121,4.60426845894735e-08,3.38827410969675e-07,"Yes","Downregulated"
"C2",2562.806331651,1.07454208348967,0.135133677414144,7.95169719385731,1.83973488641112e-15,5.4727618404396e-14,"Yes","Upregulated"
"TRIM44",178.443781369351,-1.23590137121045,0.406906697532546,-3.03730899172923,0.00238700631749249,0.00611310577523842,"Yes","Downregulated"
"OR2D2",0.623986101976165,-1.38685467940814,0.52958369178,-2.61876394786014,0.00882489902989364,0.0196043275092444,"Yes","Downregulated"
"SLFN5",42.128786206,-1.29650929341152,0.232576627918643,-5.5745467849205,2.48175105669405e-08,1.91504786863189e-07,"Yes","Downregulated"
"GPR182",5.95065176446839,1.3891825493616,0.570395303553749,2.43547332999857,0.0148723209105584,0.031027177776282,"Yes","Upregulated"
"GREM1",292.348822742859,-1.32487475286856,0.296510099753613,-4.46822807711939,7.88701887164136e-06,3.59153327575491e-05,"Yes","Downregulated"
"SMAD3",217.307173791149,-1.03264117375479,0.156760904354223,-6.58736422840091,4.47703061728248e-11,6.05025105773876e-10,"Yes","Downregulated"
"MS4A8",524.72302955621,-1.3454297866692,0.352069232970268,-3.8214920835835,0.000132646672809448,0.000456097793460951,"Yes","Downregulated"
"MS4A15",621.286381139763,1.07491962072078,0.226043726811688,4.75536143330478,1.98091693209746e-06,1.03642073230479e-05,"Yes","Upregulated"
"MAP1A",28.4470865747367,-1.37172170727608,0.415575709006752,-3.30077451002748,0.000964183398221453,0.00271813702245946,"Yes","Downregulated"
"SLC27A4",285.365055520947,1.40350146009084,0.143855236003946,9.75634602589191,1.73286437599459e-22,1.77813302401917e-20,"Yes","Upregulated"
"RRM1",214.449095449392,1.10816327848701,0.123472806863434,8.97495818421535,2.834594411449e-19,1.56416516390078e-17,"Yes","Upregulated"
"CA4",241.272933638224,1.41743849862981,0.289702208999472,4.89274315002683,9.94401462165719e-07,5.5265063759248e-06,"Yes","Upregulated"
"GPD1",116.70665799021,-1.14681792029245,0.243599093789687,-4.70780864760756,2.50393980213641e-06,1.2792856080006e-05,"Yes","Downregulated"
"AXL",137.996441704379,-1.12150467356452,0.179431028221,-6.25033855450686,4.09563903233178e-10,4.57534231960489e-09,"Yes","Downregulated"
"EEF2",7972.21766657508,4.01224293822508,0.287323140915372,13.9642178678773,2.57719123492215e-44,2.35361989529265e-40,"Yes","Upregulated"
"UBXN6",1811.715978769,1.36155815627326,0.146390441117781,9.30086791102565,1.39303861769204e-20,9.63782210308526e-19,"Yes","Upregulated"
"SEMA6B",157.202437714294,-2.12676997145027,0.295061390080483,-7.20788975768792,5.68256049505544e-13,1.07891858048012e-11,"Yes","Downregulated"
"KLK5",20.0790434015483,1.85173884522987,0.415375628458925,4.45798626197681,8.27332029454963e-06,3.74875205110268e-05,"Yes","Upregulated"
"ABCA3",1171.03477416964,1.58545395179406,0.233625960650611,6.78629184607235,1.15052299492169e-11,1.72107309600693e-10,"Yes","Upregulated"
"BATF2",114.024586534905,1.63823592296983,0.212936251389846,7.69355106177072,1.43106556928928e-14,3.60033231722709e-13,"Yes","Upregulated"
"CCDC88B",2172.92832209571,1.19472545253995,0.132066318955776,9.04640533624644,1.47752204065114e-19,8.43341877265406e-18,"Yes","Upregulated"
"SCARA5",335.732119267785,-1.78062214951099,0.416087384948664,-4.27944276592447,1.87361809177494e-05,7.8185136957435e-05,"Yes","Downregulated"
"HOOK3",84.8925988036224,-1.352620082266,0.21232838600292,-6.37041569301711,1.88516546680103e-10,2.25196515703864e-09,"Yes","Downregulated"
"PPDPFL",1.94853037335063,-1.4742504355405,0.489288701604361,-3.01304818751482,0.00258637845804065,0.00657483681783055,"Yes","Downregulated"
"ARF4",619.727911331683,1.30097093817062,0.160211953703719,8.12031130071929,4.64989422428077e-16,1.51121562289125e-14,"Yes","Upregulated"
"MTNR1A",1.68523396032176,-1.6400180502289,0.388711146049918,-4.21911763244961,2.45260291851694e-05,9.97035217153616e-05,"Yes","Downregulated"
"LGI3",139.9315066106,2.21655509443427,0.361204021306486,6.13657369155782,8.43202597693005e-10,8.91783175846134e-09,"Yes","Upregulated"
"COL3A1",24206.9730475836,-1.03273734465663,0.205603266460469,-5.02296175754186,5.08806788170489e-07,3.0163440395761e-06,"Yes","Downregulated"
"CXXC4",10.2804310659361,-1.6825868170376,0.33502171151213,-5.02232171593655,5.10505775720081e-07,3.02445280360924e-06,"Yes","Downregulated"
"MAT2A",1524.76565411047,-1.1146347695179,0.140493418972822,-7.93371517091149,2.12685572513228e-15,6.27577056858498e-14,"Yes","Downregulated"
"FEM1B",53.2415284510261,-1.33946316528763,0.243473481524656,-5.50147456264961,3.76627957920232e-08,2.81469298339322e-07,"Yes","Downregulated"
"VCX3A",3.05025907020795,1.51870980496955,0.507776467454836,2.99090230112846,0.0027815447000239,0.00702113238611615,"Yes","Upregulated"
"MN1",15.5988620638303,-1.52966529383834,0.447627143399163,-3.41727555264514,0.000632512246012291,0.00185916256411563,"Yes","Downregulated"
"IL13",42.7664919209139,-1.78567973933593,0.368075935340034,-4.85138953103872,1.22599489584112e-06,6.68242219413253e-06,"Yes","Downregulated"
