"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"BORCS6",11.9481670859757,1.28937672579985,2.52684050449321,0.737107130431723,0.604182542474606,NA,0,0
"ATP6V1F",11.0676968551251,1.34652723167354,3.81577092328368,0.577486965419021,0.784311081657125,0.208539956334349,0,0
"OR7C2",10.817687149538,3.25352357273937,6.08406920215358,NA,NA,0.422977943325169,0,0
"DCAF4L2",10.2840595448778,3.01315941125736,5.21134623751224,NA,NA,0.81497258500249,0,0
"INPP5J",10.0741626637749,1.05505837514666,1.83090150189388,0.140030070445591,1.19424355310051,NA,0,0
"C19orf47",10.0569315063894,1.24994843766456,2.94050333781958,0.391164165275702,0.418177809898407,NA,0,0
"ADRA2B",10.05452107195,2.9559956801542,5.28947861057798,NA,NA,0.622512749730418,0,0
"CGB7",10.0244706441199,1.15616758691589,3.44265823926539,-1.24629533664245,1.27213985812474,NA,0,0
"OR51G2",9.86421455302036,2.83134793392819,5.14439706450459,NA,NA,0.51829880335178,0,0
"BRICD5",9.79500302973489,1.38745574845702,3.77744836855177,-0.424756059028468,0.809674935847744,NA,0,0
"MROH6",9.78574872168344,1.44588127803705,3.00776199932227,0.0646073262975887,1.2652745084913,NA,0,0
"ANXA2R",9.77300042456511,1.12923219817871,2.16199439627348,0.758924110458038,0.466778087804603,NA,0,0
"CITED4",9.73306493141849,1.06132942477133,1.81142218607677,0.439157148967595,0.933408939269619,NA,0,0
"C19orf73",9.53779802947355,2.59337062300154,4.8255542036784,NA,NA,0.361187042324687,0,0
"DCANP1",9.47212965009478,2.66623272405407,4.81340843584014,1.43831194637033,1.74697778995174,NA,0,0
"LHX3",9.44049777096426,2.7625570264976,5.93805516737065,NA,NA,-0.412941114375451,0,0
"AC010422.3",9.42748254034216,1.56130979554958,NA,1.33762869642084,1.78499089467833,NA,0,0
"KIF12",9.3733166012807,1.62261755445297,3.37095936686403,0.393922057826712,1.10297123866816,NA,0,0
"MDP1",9.31565584414299,1.0265621676887,2.39247940397568,0.311891258306918,0.375315840783517,NA,0,0
"MRM1",9.31050099942785,1.29559618803989,1.5004769621006,0.277453152282196,2.10885844973687,NA,0,0
"C20orf204",9.2841688791585,2.39607032728669,5.91209140625779,0.254946816163395,1.02117275943887,NA,0,0
"C9orf163",9.26860324304737,3.07493676337148,5.74952269196464,NA,NA,0.40035083477831,0,0
"PLVAP",9.23114349575567,8.69347402278319,0.737557090371115,6.26914298363462,27.4836266171957,0.283569399931316,0,0
"MMD2",9.1903495562894,2.58033228290105,4.44894753218846,NA,NA,0.711717033613632,0,0
"RECQL4",9.17358104050265,1.26160975724457,3.13345170987429,-0.203714303936421,0.855091865795844,NA,0,0
"KRT10",9.17163798285826,1.2307818047419,4.00982555125009,0.405713185441294,0.321294450782558,0.186294031493677,0,0
"ASCL2",9.14218659189899,1.08007098996705,NA,1.83834753573481,1.27381037774997,0.128055056416365,0,0
"MTLN",9.1032293266516,1.42094243645233,3.19596675069283,0.61618463968219,0.45067591898196,NA,0,0
"RNF208",9.09829208259919,1.17090269848424,3.41879900700592,0.384954340218113,0.904554826335845,-0.0246973796229186,0,0
"TMIGD2",8.99761336021181,2.01006586940013,5.21190643192277,1.82715701059427,0.95347578725761,0.0477242478258844,0,0
"EXOC3L1",8.98728875446658,1.11617230609112,2.23243660770188,0.215071770539274,0.901008540032202,NA,0,0
"C22orf39",8.90254484020672,1.04605806429375,3.5340516460635,0.361239936773,0.166019441050594,0.122921233287918,0,0
