"Gene_symbol","ng","mean_abs_logfc","GSE184316","GSE150910.biopsy","GSE150910.explant","GSE47460","metaFIN_pval","metaFIN_padj"
"EBLN1",3.5109963607793,1.09263886551095,4.97295485628852,-1.04892393034573,-0.646114329409946,NA,0.000446430509952966,0.00156673889574193
"VN1R4",3.50594615779534,2.75065964182486,5.49557233197038,NA,NA,0.00574695167933147,0.000227493624192832,0.000852206732498649
"TEX101",3.50554989858246,1.54900593038138,6.76111232312379,-0.062805415627305,-0.476246288688399,-0.026036897282559,0.000455665079360346,0.00159689712793612
"MRGPRD",3.50309208231331,1.26535812295183,6.11239340920021,-0.147877658897949,-1.37088342586887,0.467800167373911,0.00045989045102024,0.00160964595703328
"AC235565.2",3.50125570089616,1.60408285786144,NA,-1.96953808263121,-1.23862763309168,NA,0.000231535655413784,0.000865573045859799
"PNMA8B",3.49262875534412,1.23808683126097,3.07247690810757,0.660885647772313,-0.0191020620969582,NA,0.000478290952078853,0.00166935668648238
"KRT27",3.49052129794966,1.16236972864916,2.2077670472589,0.822207027500676,0.457135111187909,NA,0.000241039593344428,0.000897794651212861
"ITIH1",3.489061841557,1.0140647772707,4.22570250845577,-0.489348131047172,0.305475893861103,0.0144288378131019,0.000484718995120925,0.00169006960307213
"MGC12916",3.48006186438587,1.41615575340592,2.8299537242096,NA,NA,0.00235778260223656,0.000250649006541925,0.000931054852097091
"SHBG",3.47281639912566,1.45447426056987,5.75921794244809,-0.296740519289114,0.409119335098345,-0.0536997159778317,0.00051502754940369,0.00178529415613237
"ANGPTL8",3.47266968908073,1.27156024498059,3.81695299101163,-0.21771022967305,0.215437973603184,NA,0.000515309138799491,0.00178604426333655
"CDK5R2",3.4640058791181,1.45192208877721,7.0457226905695,-1.00013811819443,-0.177554944891755,-0.0603412723744638,0.000532194879226733,0.00183875377934372
"RFLNA",3.45712961162454,1.00549792853251,2.54780636731525,-0.166748174207704,0.635435592489985,NA,0.000545962189736793,0.00188228469517234
"ACTL9",3.45690059603122,1.97696365613285,7.27274199674144,0.136289290317247,0.394478318355088,0.104345019117607,0.000273213186010812,0.00100817284897174
"ASPRV1",3.4539317822487,1.10231275031753,3.22028081294984,0.095878665064201,-0.00922122706146137,NA,0.000552477107897742,0.00190211265186108
"GH1",3.45295581170497,1.76588618820755,6.18615071192448,-0.106002941795192,0.989291993203377,-0.00589501050245664,0.000554479824293574,0.00190876787968365
